2025-01-21 16:46:29.146 [info] Experiment 'pythonaa' is active
2025-01-21 21:05:30.273 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/views.py
2025-01-21 21:08:46.135 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/views.py
2025-01-21 21:14:09.003 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/serializers.py
2025-01-21 21:16:03.938 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/views.py
2025-01-21 21:18:27.650 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/serializers.py
2025-01-21 21:21:25.431 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/models.py
2025-01-21 21:22:13.316 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/serializers.py
2025-01-21 21:24:55.819 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/helpers.py
2025-01-21 21:25:48.658 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/helpers.py
2025-01-21 21:27:02.981 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/helpers.py
2025-01-21 21:27:06.170 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/helpers.py
2025-01-21 21:27:36.381 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/models.py
2025-01-21 21:34:33.864 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/serializers.py
2025-01-21 21:34:36.133 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/models.py
2025-01-21 21:43:45.712 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/serializers.py
2025-01-21 21:48:15.415 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/serializers.py
2025-01-21 21:51:15.312 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/serializers.py
2025-01-21 21:51:18.795 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/views.py
2025-01-21 21:53:37.585 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/serializers.py
2025-01-21 21:57:54.088 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/serializers.py
2025-01-21 21:58:34.345 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/helpers.py
2025-01-21 21:59:23.071 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/views.py
2025-01-21 22:01:16.051 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/views.py
2025-01-21 22:01:32.884 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/views.py
2025-01-21 22:02:13.861 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/serializers.py
2025-01-21 22:03:28.775 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/views.py
2025-01-21 22:08:56.265 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/models.py
2025-01-21 22:23:40.350 [info] Discover tests for workspace name: dimpro-rest - uri: /home/miguel/Desktop/repositories/dimpro-rest/backend/dimpro/helpers.py
